DateTime,AddedIPs,RemovedIPs
1543699842,40,61
1543701920,64,63
1543702458,13,11
1543704139,82,52
1543704978,29,30
1543706124,40,37
1543707738,40,51
1543709133,39,54
1543710320,61,18
1543711348,60,36
1543712179,25,22
1543713303,22,49
1543714099,29,10
1543715420,33,42
1543716858,37,31
1543718429,31,44
1543720222,50,40
1543720468,3,10
1543722021,38,44
1543724069,53,61
1543725741,49,42
1543726581,16,22
1543727676,30,26
1543729344,50,43
1543731270,46,67
1543732529,45,49
1543733722,33,30
1543734861,34,48
1543735699,33,18
1543737322,37,58
1543738459,34,45
1543739812,46,54
1543740955,28,24
1543742063,23,26
1543742900,15,6
1543744522,23,38
1543745660,53,24
1543746502,33,11
1543748178,62,39
1543749258,14,20
1543750521,55,38
1543752320,106,50
1543752864,52,3
1543754422,217,31
1543756220,242,26
1543758140,40,45
1543760057,47,37
1543760910,19,5
1543761741,14,44
1543763422,46,53
1543765223,40,40
1543767268,55,52
1543768102,15,11
1543769308,44,41
1543770471,44,37
1543772538,62,63
1543774458,80,32
1543775298,23,8
1543776876,40,39
1543778899,88,47
1543780612,48,36
1543781721,42,58
1543782505,37,15
1543784373,50,75
1543786099,85,39
1543788139,62,75
1543789700,44,33
1543790546,23,28
1543792463,54,49
1543794141,49,46
1543794979,25,25
1543796123,50,48
1543797741,58,41
1543798578,18,18
1543799744,24,29
1543800932,26,37
1543802190,41,42
1543803323,24,38
1543804526,58,49
1543805733,35,18
1543806861,35,32
1543808693,43,36
1543809391,19,28
1543810523,34,30
1543812919,50,62
1543814059,36,35
1543815757,49,27
1543816581,25,6
1543817745,18,57
1543819352,47,43
1543821060,47,42
1543822952,45,62
1543823788,51,27
1543824923,54,35
1543826041,41,51
1543827323,45,46
1543828527,39,42
1543830130,28,43
1543831011,37,36
1543832133,25,37
1543832910,12,4
1543834784,29,36
1543836505,11,8
1543837339,10,26
1543838242,12,8
1543839433,61,27
1543840824,70,42
1543842635,66,48
1543844570,65,42
1543845924,41,53
1543847270,23,24
1543848980,48,40
1543850060,32,39
1543851748,41,35
1543853659,40,53
1543855221,46,34
1543857259,55,54
1543858520,31,35
1543860152,31,36
1543861518,39,18
1543862725,24,44
1543863383,12,19
1543864531,45,58
1543866140,39,45
1543868065,24,28
1543868900,13,5
1543869738,12,27
1543870576,12,14
1543871679,20,21
1543872924,21,58
1543873343,9,3
1543874178,11,4
1543875259,17,29
1543876101,12,4
1543877517,25,27
1543878634,13,14
1543879700,19,6
1543881322,25,58
1543882457,20,18
1543883303,17,4
1543885823,29,35
1543887740,34,26
1543888580,7,14
1543889733,17,13
1543890872,16,12
1543892073,13,7
1543893325,16,16
1543894942,23,30
1543895781,18,9
1543896927,14,16
1543898127,11,23
1543899326,16,10
1543900478,14,11
1543902141,20,21
1543903523,13,15
1543905740,23,14
1543907429,25,28
1543909345,26,21
1543911264,29,26
1543912104,3,1
1543914473,30,58
1543915692,11,1
1543916544,14,28
1543917385,4,2
1543919300,21,41
1543920149,10,25
1543922064,32,32
1543923227,19,119
1543924475,22,172
1543925730,20,334
1543926504,10,5
1543927606,13,37
1543929027,19,25
1543929264,3,0
1543930622,24,36
1543931784,20,13
1543932861,16,17
1543934588,24,25
1543935399,18,12
1543936534,19,15
1543937729,13,19
1543938933,22,17
1543938982,2,3
1543940122,72,22
1543941330,50,23
1543942526,35,8
1543943665,38,60
1543944921,53,37
1543946124,43,23
1543947332,42,24
1543948615,32,68
1543950862,57,52
1543952425,45,34
1543954463,51,37
1543955306,23,6
1543956925,27,61
1543958422,29,31
1543959624,24,28
1543961126,27,36
1543962500,30,4
1543965038,48,57
1543966103,14,23
1543967781,28,54
1543968865,19,31
1543969699,12,3
1543970547,14,17
1543972222,34,45
1543973423,16,35
1543974992,36,16
1543976064,14,22
1543977400,19,35
1543979441,24,35
1543979676,8,4
1543980502,20,8
1543982120,23,32
1543983240,18,25
1543984940,20,34
1543985782,10,17
1543986945,22,31
1543988427,15,34
1543990465,35,36
1543991720,26,41
1543992148,7,7
1543994062,29,59
1543995321,23,38
1543996521,18,19
1543997724,20,42
1543998510,14,6
1543999351,13,27
1544000944,21,43
1544002230,23,31
1544003792,30,20
1544004941,14,34
1544006550,30,25
1544007387,13,24
1544008462,17,33
1544010142,26,48
1544011523,34,41
1544012719,25,6
1544013922,22,36
1544015399,18,52
1544016503,19,6
1544017813,15,40
1544019264,17,28
1544020382,11,44
1544021781,55,22
1544022868,61,26
1544023705,31,2
1544024931,42,48
1544026227,64,22
1544027450,44,31
1544028140,26,13
1544029831,57,36
1544031740,61,45
1544032577,27,9
1544033657,27,44
1544034504,23,2
1544036123,58,78
1544037261,33,23
1544040166,175,62
1544041531,81,14
1544042540,62,32
1544044459,132,31
1544045307,38,4
1544047520,78,63
1544048649,43,10
1544049931,40,36
1544051668,45,34
1544052500,22,10
1544054723,62,60
1544056519,44,31
1544057722,26,27
1544057780,2,1
1544058932,20,31
1544059702,16,3
1544061382,29,36
1544062524,32,23
1544064141,39,33
1544064981,12,8
1544066087,25,32
1544067634,39,28
1544069663,46,21
1544070513,17,3
1544071341,17,13
1544072181,24,8
1544073261,14,17
1544074828,32,23
1544076332,27,36
1544076862,11,2
1544078128,19,28
1544080222,46,40
1544081442,17,27
1544082590,14,15
1544083831,21,26
1544085326,30,18
1544086565,17,20
1544087673,18,14
1544089344,27,41
1544090732,20,44
1544092943,38,26
1544094631,36,42
1544095704,12,11
1544096546,14,13
1544097383,20,14
1544098461,16,23
1544100140,29,30
1544102061,37,36
1544102904,6,6
1544103741,17,17
1544104582,10,5
1544105734,18,33
1544107632,34,50
1544108181,20,11
1544110099,37,30
1544111284,26,46
1544112632,24,37
1544112888,5,4
1544114537,30,48
1544115380,20,18
1544116530,21,20
1544118140,37,28
1544118983,30,23
1544120059,39,19
1544121301,64,32
1544121741,16,3
1544122584,36,4
1544123723,25,40
1544125521,39,40
1544126719,27,32
1544128103,35,11
1544129780,43,53
1544130924,24,34
1544132539,43,49
1544133921,24,45
1544136139,53,40
1544137814,26,40
1544138905,28,19
1544140067,18,51
1544141663,32,56
1544143344,44,28
1544145031,27,45
1544146102,26,7
1544147784,38,45
1544148926,20,25
1544150540,35,29
1544152087,36,27
1544154142,39,39
1544154985,13,19
1544156124,26,20
1544156911,18,10
1544158522,38,38
1544159660,21,26
1544161135,26,28
1544162182,25,7
1544163329,26,19
1544164101,10,6
1544164944,13,36
1544167404,41,53
1544168792,23,31
1544169385,8,12
1544170462,26,28
1544171725,29,34
1544172142,13,4
1544173712,31,36
1544175052,22,23
1544177136,36,54
1544178506,24,15
1544179971,29,36
1544181260,19,31
1544182108,20,9
1544183784,33,45
1544184916,20,20
1544186055,27,20
1544187385,25,10
1544188463,27,31
1544189300,15,5
1544190919,35,31
1544192124,24,40
1544193625,28,38
1544194983,24,44
1544196513,45,11
1544198086,32,49
1544199313,26,34
1544200940,41,48
1544201782,15,18
1544202858,22,21
1544203711,7,9
1544205018,28,47
1544206222,55,34
1544206457,10,3
1544208320,24,29
1544209497,17,44
1544210058,6,3
1544210900,6,6
1544212152,21,48
1544213430,22,47
1544214501,15,4
1544217053,28,64
1544218941,24,32
1544220321,19,37
1544221832,19,22
1544223322,24,15
1544224467,14,32
1544225299,9,4
1544226547,26,45
1544228069,16,25
1544228907,7,3
1544230581,16,34
1544231664,13,23
1544232508,10,1
1544235269,34,71
1544237134,27,42
1544237783,5,15
1544238863,15,36
1544240727,21,42
1544241930,22,37
1544243304,13,3
1544244140,12,37
1544244982,22,2
1544246069,27,38
1544247740,22,37
1544249123,17,43
1544250613,20,24
1544252180,24,20
1544254100,23,33
1544255719,20,49
1544256923,18,37
1544258429,18,44
1544260463,28,45
1544261304,60,5
1544262982,111,52
1544264059,108,27
1544265621,51,43
1544266798,21,35
1544267664,26,6
1544269346,37,32
1544270734,33,39
1544271917,13,6
1544272945,26,32
1544274620,95,53
1544275699,70,2
1544277846,58,58
1544279100,30,2
1544280325,23,34
1544282057,23,38
1544282901,25,4
1544283741,47,42
1544285122,75,27
1544286318,86,6
1544287348,51,29
1544289320,72,48
1544290099,19,9
1544291782,58,47
1544292864,33,40
1544293699,21,10
1544294540,21,29
1544296225,45,41
1544297472,29,27
1544298619,34,16
1544300058,48,35
1544300906,22,7
1544301747,20,25
1544303661,44,43
1544305225,35,41
1544306184,21,21
1544307327,26,21
1544308825,42,38
1544310627,53,28
1544312128,35,32
1544313380,16,5
1544314533,22,27
1544315301,16,8
1544316920,35,38
1544318121,58,38
1544318899,14,4
1544319738,22,27
1544321131,36,27
1544322644,38,30
1544323820,16,27
1544325025,18,28
1544326949,44,42
1544327784,10,16
1544328925,26,26
1544329708,11,3
1544332230,59,65
1544333300,29,13
1544334145,22,23
1544336073,40,32
1544337636,39,30
1544339425,50,40
1544340626,31,21
1544343261,48,47
1544344829,38,25
1544345782,22,1
1544346863,22,32
1544348548,32,44
1544349947,45,31
1544351118,38,6
1544352917,52,45
1544354122,31,32
