DateTime,AddedIPs,RemovedIPs
1543669007,4,0
1543670101,1,6
1543671760,5,3
1543672603,3,2
1543673682,3,6
1543675361,3,11
1543676208,1,2
1543677289,1,5
1543680358,10,8
1543680880,4,0
1543682142,1,7
1543684493,5,3
1543685762,7,5
1543687010,9,0
1543688153,2,3
1543689988,3,6
1543691456,6,1
1543693255,4,4
1543694202,3,2
1543695280,1,4
1543696972,3,12
1543698182,1,7
1543699903,6,2
1543701946,7,4
1543702481,4,0
1543704161,5,10
1543705000,2,6
1543706157,2,6
1543707762,1,2
1543709185,4,1
1543710345,3,0
1543711375,0,1
1543712202,2,1
1543713355,2,4
1543715444,1,4
1543716882,6,2
1543718458,2,2
1543720261,3,2
1543722056,2,10
1543724105,4,9
1543725765,1,6
1543726606,1,3
1543727706,1,7
1543729368,3,3
1543731294,3,7
1543732553,3,6
1543733760,4,0
1543734886,2,6
1543737350,1,4
1543738482,2,1
1543739853,2,3
1543740998,2,2
1543742093,1,1
1543742927,1,0
1543744560,6,7
1543745713,1,7
1543746539,4,0
1543748201,4,7
1543749286,3,3
1543750555,3,7
1543752343,4,3
1543754446,5,7
1543756247,5,7
1543758170,5,1
1543760081,6,5
1543760938,2,0
1543761762,3,4
1543763445,5,7
1543765252,6,9
1543767304,9,5
1543768138,1,0
1543769336,3,7
1543770522,4,4
1543772562,3,6
1543774479,3,7
1543775326,2,0
1543776899,6,6
1543778935,5,4
1543780634,2,3
1543781749,4,6
1543782537,4,0
1543784403,8,16
1543785650,3,0
1543786125,1,0
1543788186,5,9
1543789730,2,0
1543790579,0,3
1543792493,4,3
1543794165,4,2
1543795002,1,0
1543796156,1,3
1543797763,3,4
1543798601,2,0
1543799800,1,3
1543800970,2,2
1543802215,4,0
1543803357,3,1
1543804584,0,2
1543806886,6,5
1543808802,1,5
1543810559,1,2
1543812943,8,3
1543814086,2,3
1543815848,1,5
1543816607,1,0
1543817798,4,3
1543819411,2,10
1543821136,4,3
1543822994,4,7
1543823820,4,1
1543824978,4,2
1543826085,3,5
1543827390,6,2
1543828580,6,3
1543830157,4,5
1543831038,2,0
1543832189,3,3
1543833020,2,2
1543835295,8,4
1543836631,6,2
1543837363,3,0
1543838348,0,2
1543839505,2,0
1543840901,4,6
1543842707,2,3
1543844594,4,1
1543846003,6,3
1543847293,5,0
1543849005,2,7
1543850091,1,3
1543851783,7,4
1543853689,3,9
1543855247,7,7
1543857286,11,4
1543858543,4,5
1543860216,7,7
1543861541,11,0
1543862762,8,6
1543863409,3,0
1543864574,1,7
1543866161,7,1
1543868086,4,3
1543869760,3,3
1543870597,1,2
1543871702,5,4
1543873370,6,11
1543874201,3,0
1543875293,1,3
1543876131,5,0
1543877538,1,4
1543878659,3,2
1543879725,2,0
1543881346,5,3
1543882482,4,2
1543883326,2,0
1543885860,5,10
1543887763,2,6
1543888603,3,0
1543889760,2,3
1543890902,2,2
1543892097,1,1
1543892218,1,0
1543893357,0,1
1543894967,5,3
1543896961,5,1
1543898156,3,1
1543899357,4,4
1543900547,2,4
1543901701,5,2
1543903599,7,5
1543905765,4,4
1543907459,5,4
1543909376,2,0
1543911297,6,3
1543912141,4,0
1543914516,5,11
1543915799,3,5
1543917429,2,0
1543918497,3,1
1543919324,5,0
1543920187,3,4
1543922091,5,4
1543923291,7,5
1543924513,2,2
1543925797,5,4
1543926534,4,0
1543927661,3,6
1543929057,3,3
1543929289,1,0
1543930662,8,4
1543931825,5,4
1543932900,4,3
1543934623,3,6
1543936656,7,3
1543937754,3,3
1543939006,4,0
1543940157,2,4
1543941417,7,8
1543942558,3,0
1543943694,2,10
1543944947,5,4
1543946148,8,1
1543947360,7,4
1543948655,5,4
1543950892,3,6
1543952454,9,3
1543954494,4,4
1543955332,2,0
1543956947,6,1
1543958449,3,7
1543959654,2,5
1543961149,3,4
1543962526,4,0
1543965318,1,10
1543966137,1,0
1543967807,3,7
1543969722,1,0
1543970574,2,4
1543972249,4,3
1543973527,2,5
1543975020,2,2
1543976102,2,2
1543977442,2,2
1543979472,2,4
1543980536,1,0
1543982145,2,7
1543983295,0,1
1543984965,2,2
1543985807,1,0
1543986993,3,2
1543988462,2,1
1543990491,6,4
1543992186,2,2
1543994089,3,4
1543995347,3,2
1543997803,6,6
1543998605,6,8
1544000984,4,3
1544002288,4,8
1544003834,7,2
1544005003,4,4
1544006604,4,3
1544007422,4,1
1544008490,3,2
1544010170,11,4
1544011555,4,1
1544012743,3,0
1544014004,4,5
1544015480,2,3
1544016532,1,0
1544017837,3,4
1544019292,4,6
1544020449,1,4
1544021806,7,1
1544022921,2,3
1544023738,4,0
1544024968,3,2
1544026251,3,4
1544028161,5,10
1544029854,7,11
1544031764,6,13
1544032600,5,6
1544033678,5,2
1544034541,2,0
1544036150,6,5
1544037290,0,7
1544038843,3,3
1544040224,4,9
1544041555,5,0
1544042565,3,7
1544044484,9,9
1544045340,1,0
1544047550,4,10
1544048699,1,0
1544050003,2,7
1544051718,5,3
1544052529,1,0
1544054757,7,4
1544056544,3,1
1544057803,3,3
1544058979,0,4
1544061412,1,1
1544062558,2,1
1544064164,2,1
1544065017,2,0
1544066111,3,4
1544067673,4,6
1544069694,3,2
1544070596,1,3
1544071365,2,0
1544072207,2,2
1544073285,3,8
1544074883,14,2
1544076898,6,5
1544078171,1,0
1544080261,4,6
1544081506,2,2
1544082618,2,3
1544084121,2,4
1544085360,7,2
1544086592,7,3
1544087700,4,3
1544089375,1,5
1544090811,4,6
1544092971,3,5
1544094656,2,6
1544095732,3,0
1544096577,2,3
1544097422,4,2
1544098493,4,4
1544100164,5,12
1544102085,8,2
1544102934,5,0
1544103766,4,8
1544104605,4,4
1544105771,6,4
1544107688,11,5
1544108205,3,0
1544110128,20,4
1544111324,12,5
1544112693,18,7
1544112939,4,0
1544114558,23,5
1544115403,7,4
1544116573,15,4
1544118166,16,10
1544119010,5,4
1544120091,3,1
1544121323,3,5
1544121763,6,0
1544122610,13,0
1544123753,21,10
1544125555,19,4
1544126754,6,13
1544128130,9,0
1544129803,8,3
1544130953,6,2
1544132138,9,7
1544132561,4,0
1544133967,13,0
1544136162,21,3
1544138041,17,6
1544138941,15,0
1544140137,19,2
1544141694,3,0
1544143369,3,2
1544145062,4,3
1544146130,6,0
1544147813,10,4
1544148958,7,1
1544150141,4,3
1544150561,2,0
1544152129,1,4
1544154169,6,1
